date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,7.2,5,9.7,1.1,,,15.1,,1002.3,
2025-01-02 00:00:00,3.9,1.7,6.7,0,,,25.5,,1013.1,
2025-01-03 00:00:00,1.9,0,4.4,0,,,18.8,,1012.4,
2025-01-04 00:00:00,0.3,-1.1,3.3,0,,,11.2,,1011.9,
2025-01-05 00:00:00,-0.4,-2.2,3.3,0,,,15.4,,1017.1,
2025-01-06 00:00:00,-1.2,-3.3,0,1.2,,,9.4,,1010.8,
2025-01-07 00:00:00,-2.1,-5.6,2.8,0,,,7.7,,1010.7,
2025-01-08 00:00:00,-2.3,-4.4,1.1,0,,,8.8,,1013.1,
2025-01-09 00:00:00,-1.8,-4.4,2.8,0,,,8.5,,1008.7,
2025-01-10 00:00:00,1.2,-3.2,6.1,0,,,7.2,,1012.6,
2025-01-11 00:00:00,0.6,-1.1,2.8,1.4,,,8.7,,1003,
2025-01-12 00:00:00,2.8,-1.5,7.2,0,,,7.2,,1015.5,
2025-01-13 00:00:00,2.9,0.6,6.1,0,,,14.3,,1015,
2025-01-14 00:00:00,0.1,-2.2,2.8,0,,,10.5,,1016.3,
2025-01-15 00:00:00,-1.6,-4.4,2.2,0,,,7.7,,1020.6,
2025-01-16 00:00:00,-2.3,-3.9,-1.1,0,,,15.2,,1015.6,
2025-01-17 00:00:00,1.1,-2.8,7.2,0,,,12.7,,1017.7,
2025-01-18 00:00:00,4.1,1.6,7,0.7,,,9.9,,1014.1,
2025-01-19 00:00:00,1.7,-2.8,4.4,6.3,,,8.1,,1008.1,
2025-01-20 00:00:00,-4.4,-7.2,1.7,0.1,,,10.8,,1023,
2025-01-21 00:00:00,-8.2,-10.6,-6.7,0,,,13.3,,1033.7,
2025-01-22 00:00:00,-7.4,-11.4,-3.9,0,,,9.5,,1033.1,
2025-01-23 00:00:00,-4.5,-7.2,-0.6,0,,,12.1,,1025.7,
2025-01-24 00:00:00,-1.7,-5.6,2.2,0,,,10.2,,1022.5,
2025-01-25 00:00:00,-1.8,-5,0.6,0,,,14.8,,1026.7,
2025-01-26 00:00:00,2.2,-0.6,7.2,0,,,12.4,,1021.2,
2025-01-27 00:00:00,2.4,0,5.6,0,,,17.8,,1014.3,
2025-01-28 00:00:00,3.9,2.2,7.2,0,,,14.1,,1003.6,
2025-01-29 00:00:00,5.7,2.2,11.1,0.1,,,16.3,,1001,
2025-01-30 00:00:00,0.6,-2.8,3.9,0,,,9.2,,1022.3,
2025-01-31 00:00:00,5.2,2.8,7,8.3,,,7,,1012.2,
